Nomor,Pernyataan,Kunci_Jawaban
1,"Aku suka majalah tehnik.",YA
2,"Nafsu makanku baik.",YA
3,"Aku bangun dengan rasa nyaman hampir setiap pagi.",YA
4,"Aku mengira, aku dapat menyukai pekerjaan perpustakaan.",YA
5,"Aku mudah terbangun oleh suara berisik.",YA
6,"Aku senang membaca berita kejahatan di surat kabar.",YA
7,"Tangan dan kakiku biasanya terasa cukup hangat.",YA
8,"Kehidupan sehari-hariku terisi penuh dengan hal-hal yang menyenangkan dan menarik.",YA
9,"Aku sanggup bekerja sebagaimana biasanya.",YA
10,"Aku sering merasa seolah-olah ada yang menyumbat dalam leherku.",TIDAK
11,"Seorang harus berusaha memahami mimpinya sebagai petunjuk dan peringatan baginya.",TIDAK
12,"Aku senang cerita detektif dan cerita yang menyeramkan.",YA
13,"Aku bekerja dalam ketegangan yang sangat besar.",TIDAK
14,"Aku suka mencret-mencret sekali sebulan atau lebih.",TIDAK
15,"Sekali-kali aku berpikir tentang hal yang buruk untuk diutarakan.",YA
16,"Aku merasa bahwa hidup ini tidak adil.",TIDAK
17,"Ayahku seorang yang baik.",YA
18,"Aku jarang sekali terganggu sembelit (kesukaran buang air besar).",YA
19,"Bilamana aku melamar pekerjaan baru, aku ingin tahu siapa yang harus aku hubungi lebih dahulu.",YA
20,"Kehidupan seksku cukup memuaskan.",YA
21,"Aku pernah ingin sekali lari dari rumah.",TIDAK
22,"Pada waktu-waktu tertentu aku tertawa dan menangis tanpa dapat kukuasai.",TIDAK
23,"Aku terganggu oleh serangan mual-mual dan rasa muntah.",TIDAK
24,"Aku merasa tak seorangpun yang merasa mengerti tentang diriku.",TIDAK
25,"Aku ingin menjadi penyanyi.",TIDAK
26,"Aku merasa lebih baik tutup mulut bila dalam kesulitan.",TIDAK
27,"Ada kalanya aku dimasuki roh jahat.",TIDAK
28,"Prinsipku adalah berusaha membalas orang yang berbuat salah kepadaku.",TIDAK
29,"Dalam seminggu aku beberapa kali terganggu oleh penyakit lambung (maag).",TIDAK
30,"Kadang-kadang aku ingin mengumpat (caci).",TIDAK
31,"Aku bermimpi buruk beberapa malam sekali.",TIDAK
32,"Aku merasa sukar untuk memusatkan perhatian pada suatu pekerjaan.",TIDAK
33,"Aku pernah mengalami hal yang aneh dan tidak masuk akal.",TIDAK
34,"Aku hampir selalu batuk.",TIDAK
35,"Seandainya orang-orang tidak menghalangi, aku akan dapat lebih berhasil.",TIDAK
36,"Aku jarang merisaukan kesehatanku.",TIDAK
37,"Aku belum pernah merasakan mengalami kesulitan karena kelakuan seks ku.",TIDAK
38,"Dalam suatu masa waktu tertentu, masih muda aku pernah melakukan pencurian kecil-kecilan.",YA
39,"Kadang-kadang aku ingin membanting barang-barang.",TIDAK
40,"Pada umumnya aku lebih senang duduk melamun daripada mengerjakan yang lain.",TIDAK
41,"Aku pernah mengalami tidak dapat mengurus sesuatu selama berhari-hari, sampai berbulan-bulan karena tidak dapat memulainya.",TIDAK
42,"Keluargaku tidak senang pada pekerjaan yang telah atau akan kupilih.",TIDAK
43,"Tidurku sering terganggu dan terjaga.",TIDAK
44,"Aku sering merasa seluruh kepalaku sakit.",TIDAK
45,"Aku tidak selalu mengatakan yang benar.",TIDAK
46,"Sekarang aku lebih mampu mengambil sesuatu keputusan daripada dulu.",YA
47,"Sekali atau lebih dalam seminggu aku tiba-tiba merasa panas tanpa sesuatu sebab yang jelas.",TIDAK
48,"Pada waktu bersama orang-orang aku merasa terganggu oleh suara-suara yang aneh.",TIDAK
49,"Rasanya akan lebih baik apabila semua undang-undang ditiadakan.",TIDAK
50,"Rohku kadang-kadang meninggalkan tubuhku.",TIDAK
51,"Kesehatanku kurang lebih sama baiknya dengan kesehatan kawan-kawanku.",YA
52,"Bila aku berpapasan dengan teman-teman sekolah atau kenalan lama, aku lebih suka menghindari mereka, kecuali bila mereka menegurku lebih dahulu.",TIDAK
53,"Seorang ulama (Rohaniawan) dapat menyembuhkan dengan meletakkan tangannya di dahi orang sakit dan berdoa.",TIDAK
54,"Aku disukai oleh kebanyakan orang yang mengenalku.",YA
55,"Aku hampir tak pernah terganggu rasa nyeri pada jantung atau dada.",YA
56,"Selagi muda pernah aku dilarang masuk sekolah karena kebrandalanku.",TIDAK
57,"Aku mudah bergaul.",YA
58,"Segala sesuatu terjadi seperti yang diramalkan oleh nabi-nabi.",YA
59,"Aku sering harus menerima perintah dari seseorang yang tidak lebih pandai daripada ku.",YA
60,"Aku tidak membaca setiap tajuk rencana surat kabar harian.",TIDAK
61,"Aku menjalani hidup yang tidak dibenarkan.",TIDAK
62,"Pada beberapa bagian tubuhku sering terasa panas, kesemutan atau seperti ada yang merayap.",TIDAK
63,"Aku tidak kesulitan membuang air besar atau menahannya.",YA
64,"Aku kadang-kadang tetap bertahan pada suatu hal sehingga orang lain menjadi tidak sabar.",YA
65,"Aku sayang pada ayahku.",YA
66,"Aku melihat ada mahluk atau benda disekitarku yang tidak tampak oleh orang lain.",TIDAK
67,"Aku ingin dapat berbahagia seperti orang lain.",YA
68,"Aku hampir tidak pernah merasa sakit di tengkukku.",YA
69,"Aku sangat tertarik pada orang yang berjenis kelamin sama denganku.",TIDAK
70,"Aku suka bermain conklak (dakon).",TIDAK
71,"Aku kira banyak orang suka melebi-lebihi kemalangannya.",YA
72,"Aku tiap-tiap kali terganggu oleh sakit ulu hati.",TIDAK
73,"Aku kurang serius.",TIDAK
74,"Aku sering ingin menjadi wanita.",TIDAK
75,"Aku kadang-kadang marah.",YA
76,"Aku sering murung.",TIDAK
77,"Aku senang membaca kisah cinta.",YA
