Nomor,Pernyataan,Kunci_Jawaban_TNI_POLRI,Kategori_Alasan_Psikologis
1,Aku suka majalah tehnik.,YA,Pernyataan adaptif / positif kepribadian sehat
2,Nafsu makanku baik.,YA,Pernyataan adaptif / positif kepribadian sehat
3,Aku bangun dengan rasa nyaman hampir setiap pagi.,YA,Pernyataan adaptif / positif kepribadian sehat
4,"Aku mengira, aku dapat menyukai pekerjaan perpustakaan.",YA,Pernyataan adaptif / positif kepribadian sehat
5,Aku mudah terbangun oleh suara berisik.,YA,Pernyataan adaptif / positif kepribadian sehat
6,Aku senang membaca berita kejahatan di surat kabar.,YA,Pernyataan adaptif / positif kepribadian sehat
7,Tangan dan kakiku biasanya terasa cukup hangat.,YA,Pernyataan adaptif / positif kepribadian sehat
8,Kehidupan sehari-hariku terisi penuh dengan hal-hal yang menyenangkan dan menarik.,YA,Pernyataan adaptif / positif kepribadian sehat
9,Aku sanggup bekerja sebagaimana biasanya.,YA,Pernyataan adaptif / positif kepribadian sehat
10,Aku sering merasa seolah-olah ada yang menyumbat dalam leherku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
11,Seorang harus berusaha memahami mimpinya sebagai petunjuk dan peringatan baginya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
12,Aku senang cerita detektif dan cerita yang menyeramkan.,YA,Pernyataan adaptif / positif kepribadian sehat
13,Aku bekerja dalam ketegangan yang sangat besar.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
14,Aku suka mencret-mencret sekali sebulan atau lebih.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
15,Sekali-kali aku berpikir tentang hal yang buruk untuk diutarakan.,YA,Pernyataan adaptif / positif kepribadian sehat
16,Aku merasa bahwa hidup ini tidak adil.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
17,Ayahku seorang yang baik.,YA,Pernyataan adaptif / positif kepribadian sehat
18,Aku jarang sekali terganggu sembelit (kesukaran buang air besar).,YA,Pernyataan adaptif / positif kepribadian sehat
19,"Bilamana aku melamar pekerjaan baru, aku ingin tahu siapa yang harus aku hubungi lebih dahulu.",YA,Pernyataan adaptif / positif kepribadian sehat
20,Kehidupan seksku cukup memuaskan.,YA,Pernyataan adaptif / positif kepribadian sehat
21,Aku pernah ingin sekali lari dari rumah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
22,Pada waktu-waktu tertentu aku tertawa dan menangis tanpa dapat kukuasai.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
23,Aku terganggu oleh serangan mual-mual dan rasa muntah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
24,Aku merasa tak seorangpun yang merasa mengerti tentang diriku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
25,Aku ingin menjadi penyanyi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
26,Aku merasa lebih baik tutup mulut bila dalam kesulitan.,TIDAK,Keterbukaan adaptif dan kepedulian kesehatan
27,Ada kalanya aku dimasuki roh jahat.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
28,Prinsipku adalah berusaha membalas orang yang berbuat salah kepadaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
29,Dalam seminggu aku beberapa kali terganggu oleh penyakit lambung (maag).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
30,Kadang-kadang aku ingin mengumpat (caci).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
31,Aku bermimpi buruk beberapa malam sekali.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
32,Aku merasa sukar untuk memusatkan perhatian pada suatu pekerjaan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
33,Aku pernah mengalami hal yang aneh dan tidak masuk akal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
34,Aku hampir selalu batuk.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
35,"Seandainya orang-orang tidak menghalangi, aku akan dapat lebih berhasil.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
36,Aku jarang merisaukan kesehatanku.,TIDAK,Keterbukaan adaptif dan kepedulian kesehatan
37,Aku belum pernah merasakan mengalami kesulitan karena kelakuan seks ku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
38,"Dalam suatu masa waktu tertentu, masih muda aku pernah melakukan pencurian kecil-kecilan.",TIDAK,Integritas moral dan ketaatan hukum tanpa rekam jejak kriminal
39,Kadang-kadang aku ingin membanting barang-barang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
40,Pada umumnya aku lebih senang duduk melamun daripada mengerjakan yang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
41,"Aku pernah mengalami tidak dapat mengurus sesuatu selama berhari-hari, sampai berbulan-bulan karena tidak dapat memulainya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
42,Keluargaku tidak senang pada pekerjaan yang telah atau akan kupilih.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
43,Tidurku sering terganggu dan terjaga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
44,Aku sering merasa seluruh kepalaku sakit.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
45,Aku tidak selalu mengatakan yang benar.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
46,Sekarang aku lebih mampu mengambil sesuatu keputusan daripada dulu.,YA,Pernyataan adaptif / positif kepribadian sehat
47,Sekali atau lebih dalam seminggu aku tiba-tiba merasa panas tanpa sesuatu sebab yang jelas.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
48,Pada waktu bersama orang-orang aku merasa terganggu oleh suara-suara yang aneh.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
49,Rasanya akan lebih baik apabila semua undang-undang ditiadakan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
50,Rohku kadang-kadang meninggalkan tubuhku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
51,Kesehatanku kurang lebih sama baiknya dengan kesehatan kawan-kawanku.,YA,Pernyataan adaptif / positif kepribadian sehat
52,"Bila aku berpapasan dengan teman-teman sekolah atau kenalan lama, aku lebih suka menghindari mereka, kecuali bila mereka menegurku lebih dahulu.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
53,Seorang ulama (Rohaniawan) dapat menyembuhkan dengan meletakkan tangannya di dahi orang sakit dan berdoa.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
54,Aku disukai oleh kebanyakan orang yang mengenalku.,YA,Pernyataan adaptif / positif kepribadian sehat
55,Aku hampir tak pernah terganggu rasa nyeri pada jantung atau dada.,YA,Pernyataan adaptif / positif kepribadian sehat
56,Selagi muda pernah aku dilarang masuk sekolah karena kebrandalanku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
57,Aku mudah bergaul.,YA,Pernyataan adaptif / positif kepribadian sehat
58,Segala sesuatu terjadi seperti yang diramalkan oleh nabi-nabi.,YA,Pernyataan adaptif / positif kepribadian sehat
59,Aku sering harus menerima perintah dari seseorang yang tidak lebih pandai daripada ku.,TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
60,Aku tidak membaca setiap tajuk rencana surat kabar harian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
61,Aku menjalani hidup yang tidak dibenarkan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
62,"Pada beberapa bagian tubuhku sering terasa panas, kesemutan atau seperti ada yang merayap.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
63,Aku tidak kesulitan membuang air besar atau menahannya.,YA,Pernyataan adaptif / positif kepribadian sehat
64,Aku kadang-kadang tetap bertahan pada suatu hal sehingga orang lain menjadi tidak sabar.,TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
65,Aku sayang pada ayahku.,YA,Pernyataan adaptif / positif kepribadian sehat
66,Aku melihat ada mahluk atau benda disekitarku yang tidak tampak oleh orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
67,Aku ingin dapat berbahagia seperti orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
68,Aku hampir tidak pernah merasa sakit di tengkukku.,YA,Pernyataan adaptif / positif kepribadian sehat
69,Aku sangat tertarik pada orang yang berjenis kelamin sama denganku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
70,Aku suka bermain conklak (dakon).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
71,Aku kira banyak orang suka melebi-lebihi kemalangannya.,YA,Pernyataan adaptif / positif kepribadian sehat
72,Aku tiap-tiap kali terganggu oleh sakit ulu hati.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
73,Aku kurang serius.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
74,Aku sering ingin menjadi wanita.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
75,Aku kadang-kadang marah.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
76,Aku sering murung.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
77,Aku senang membaca kisah cinta.,YA,Pernyataan adaptif / positif kepribadian sehat
78,Aku menyukai sajak (puisi).,YA,Pernyataan adaptif / positif kepribadian sehat
79,Perasaanku tidak mudah tersinggung.,YA,Pernyataan adaptif / positif kepribadian sehat
80,Aku kadang-kadang mengganggu binatang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
81,Aku senang juga pekerjaan polisi kehutanan.,YA,Pernyataan adaptif / positif kepribadian sehat
82,Aku mudah dikalahkan dalam perdebatan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
83,Setiap orang yang mampu dan mau bekerja keras mempunyai kesempatan untuk berhasil.,YA,Pernyataan adaptif / positif kepribadian sehat
84,Akhir-akhir ini aku sukar melawan perasaan hilangnya harapan untuk menjadi orang yang berhasil.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
85,"Kadang-kadang aku tertarik pada barang orang lain, seperti sepatu, pakaian, dan sebagainya sehingga ingin memegangnya atau mencuri walaupun aku tidak mempergunakannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
86,Aku memang kurang percaya pada diriku sendiri.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
87,Aku suka juga merangkai bunga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
88,Pada umumnya aku merasa bahwa hidup ini ada manfaatnya.,YA,Pernyataan adaptif / positif kepribadian sehat
89,Aku berpendapat untuk meyakinkan orang diperlukan banyak usaha dan pembicaraan.,YA,Pernyataan adaptif / positif kepribadian sehat
90,"Apa yang dapat ku kerjakan hari ini, kadang-kadang aku tunda sampai besok.",YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
91,Aku tahan dijadikan bahan lelucon.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
92,Aku ingin menjadi juru rawat.,YA,Pernyataan adaptif / positif kepribadian sehat
93,Menurut pendapatku sebagian besar orang akan berbohong untuk memperoleh kemajuan.,YA,Pernyataan adaptif / positif kepribadian sehat
94,Aku banyak melakukan hal-hal yang kemudian kusesalkan (rasanya aku sering menyesal dari pada orang lain).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
95,Aku rajin pergi ke tempat ibadah.,YA,Pernyataan adaptif / positif kepribadian sehat
96,Aku sedikit sekali bertengkar dengan keluargaku.,YA,Pernyataan adaptif / positif kepribadian sehat
97,Adakalanya aku terdorong dengan kuat untuk mengerjakan sesuatu yang merugikan dan menghebohkan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
98,Aku percaya akan datang hari pengadilan Tuhan.,YA,Pernyataan adaptif / positif kepribadian sehat
99,Aku senang pergi ke pesta dan keramaian.,YA,Pernyataan adaptif / positif kepribadian sehat
100,"Aku pernah dihadapkan pada persoalan yang begitu banyak kemungkinannya, sehingga aku tidak dapat mengambil keputusan.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
101,Aku berpendapat bahwa perempuan seyogyanya mendapat kebebasan seks setaraf dengan laki-laki.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
102,Perjuanganku yang berat adalah melawan diri sendiri.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
103,Aku tidak terganggu oleh kejutan-kejutan otot (kedutan).,YA,Pernyataan adaptif / positif kepribadian sehat
104,Rasanya aku tidak peduli akan apa yang terjadi pada diriku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
105,Bila aku sedang tidak enak badan kadang-kadang aku mudah tersinggung.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
106,Sering aku seakan-akan telah melakukan sesuatu yang salah atau jahat.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
107,Pada umumnya aku cukup senang.,YA,Pernyataan adaptif / positif kepribadian sehat
108,Kepalaku sering sekali terasa berat atau hidungku mampet.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
109,"Ada orang yang sok tuan besar, sehingga walaupun aku tahu ia besar rasanya aku ingin melakukan yang sebaliknya dari permintaannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
110,Seseorang telah memojokkan aku sehingga aku tidak bisa berkutik.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
